method,lineage,implementation_language,executor,map,task_source,time_step,movement_semantics,routing_information,coordination,release_protocol,completion_semantics,reproduction_level,eligible_comparison_layer,primary_or_secondary,status
FENG_PAPER_CIE_DH_HISTORICAL_MEASURED,Feng original CIE-DH historical measurement,unknown,original executable unavailable,map2,Feng original Table 5.3 workbook,0.2 s reported,position-level moving/stopped reported,free-flow continuation plus moving/stopped penalties reported,local distributed switch reported,shared historical schedule D,sum of segment completion E minus shared schedule D,HISTORICAL_MEASURED_NOT_EXECUTABLE,H0 historical reference,primary,SUPPORTED
FENG_SOURCE_EXACT_CIE_DH,Feng original CIE-DH,unknown,unrecovered,map2,Feng original input,0.2 s reported,position-level moving/stopped reported,free-flow continuation plus moving/stopped penalties reported,local distributed switch reported,Feng historical release,undisclosed,SOURCE_NOT_RECOVERED,none,not executable,SOURCE_NOT_RECOVERED
FENG_NATIVE_HCA,Feng original IoT-DRPA/HCA,Java,FENG_NATIVE_JAVA_HCA_SCHEDULER,map2 native evidence; Nanning port through the same recovered Java core,legacy/jichang_origin_readonly/inputdata.txt on map2; byte-audited paired workload on Nanning,1 s planning epoch,centralized space-time reservations,A-star space-time route,centralized global reservation,original Java task release,sum of successful segment admission-to-completion,FROZEN_AGGREGATE_EXACT_REGRESSION_NOT_TRACE_EXACT,H0 and S0,primary,SUPPORTED
FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION,Feng paper semantics reconstructed independently,Java,FENG_JAVA_POSITION_LEVEL_RECONSTRUCTION,map2,legacy raw input or byte-audited paired map2 workload,0.2 s,0.5 m lattice with explicit moving/stopped footprint,free-flow shortest continuation plus physical moving/stopped occupancy,local deterministic FIFO and entry HOLD,ceil(raw release/0.2 s),historical shared-D timing on Table 5.3 audit; randomized full-population timing eligible only below 2x; formal 2x THT N/A,SEMANTICALLY_PARTIAL_RECONSTRUCTION,H0 reconstruction,secondary executable diagnostic with condition,SUPPORTED_WITH_CONDITION
FENG_PAPER_ENV_CIE_DH_NANNING_PORTED,Reporting-scope alias for runtime method FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION; map2 partial reconstruction ported without topology-specific tuning,Java,FENG_JAVA_POSITION_LEVEL_RECONSTRUCTION,Nanning,byte-audited paired Nanning workload,0.2 s,0.5 m lattice with explicit moving/stopped footprint,free-flow shortest continuation plus physical moving/stopped occupancy,local deterministic FIFO and entry HOLD,ceil(raw release/0.2 s),admission-to-goal diagnostic; full-population timing eligible only below 2x; formal 2x THT N/A,PORTED_SEMANTICALLY_PARTIAL_RECONSTRUCTION,external robustness diagnostic,secondary with condition,SUPPORTED_WITH_CONDITION
G31_S4_NATIVE_SYSTEM,CZR005 G31,Python+C++,COMMON_CPP_EVENT_EXECUTOR,map2 and Nanning,canonical workload deterministically projected from the same raw bags,event driven,continuous-time edge traversal and explicit junction service,S4 service-aware potential plus dynamic local state,distributed J2/M3 junction grants with R3 calendar and E2,canonical fixed business release,goal-arrival fixed-denominator business completion,PROJECT_NATIVE_SYSTEM,S0,primary,SUPPORTED
CIE_DH_COMMON_EXECUTOR_ADAPTED,Tarau/Feng-inspired route scorer adapted to project executor,Python+C++,COMMON_CPP_EVENT_EXECUTOR,map2 and Nanning,canonical common-executor workload,event driven,common executor movement and service semantics,H_FF or H_SA adapted scorer,neutral FIFO common coordination,same-HCA release at 1x; canonical release at 2x,common goal-arrival completion,ADAPTED_BASELINE_NOT_NATIVE,C0,secondary diagnostic,SUPPORTED_WITH_CONDITION
TARAU_COMMON_EXECUTOR_ADAPTED,Tarau distributed routing adapted route-only,Python+C++,COMMON_CPP_EVENT_EXECUTOR,map2 and Nanning,canonical common-executor workload,event driven,common executor movement and service semantics,adapted Tarau route policy,neutral FIFO common coordination,same-HCA release at 1x; canonical release at 2x,common goal-arrival completion,ADAPTED_ROUTE_ONLY,C0,secondary diagnostic,SUPPORTED_WITH_CONDITION
G31_S4_NEUTRAL_FIFO,CZR005 S4 route policy isolation,Python+C++,COMMON_CPP_EVENT_EXECUTOR,map2 and Nanning,canonical common-executor workload,event driven,common executor movement and service semantics,S4 scorer with frozen component arm,neutral FIFO common coordination,same-HCA release at 1x; canonical release at 2x,common goal-arrival completion,PROJECT_ROUTE_POLICY_CONTROL,C0,secondary diagnostic,SUPPORTED
STATIC_FREE_FLOW_FENG_EXECUTOR,executor bridge control,Java,FENG_JAVA_POSITION_LEVEL_RECONSTRUCTION,map2,legacy raw input,0.2 s,0.5 m lattice with identical static route contract,edge-length/speed only,local FIFO physical entrance,ceil(raw release/0.2 s),Feng goal-exit completion,EXECUTOR_BRIDGE_CONTROL,bridge,secondary diagnostic,SUPPORTED
STATIC_FREE_FLOW_COMMON_EXECUTOR,executor bridge control,Python+C++,COMMON_CPP_EVENT_EXECUTOR,map2,canonical exact projection of legacy raw input,event driven,common executor movement and junction service with identical static route contract,edge-length/speed H_FF only,neutral FIFO common coordination,canonical fixed release,common goal-arrival completion,EXECUTOR_BRIDGE_CONTROL,bridge,secondary diagnostic,SUPPORTED_WITH_MECHANICAL_DIFFERENCE
