gate,status,evidence,notes
state_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_git_state_audit.csv,remote/protected file state recorded
governance_updated,PASS,C:\PROGRAMING\czr005\docs\czr005_project_governance.md,No-A* candidate tiering rule added
open_end_proof_audit_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_java_conflict_predicate_evidence.csv,java_closed_interval_conflict
denominator_evidence_expanded,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_denominator_inference_by_source.csv,source/segment/integrality grouped evidence
source_queue_fairness_audit_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_source_queue_backlog_audit.csv,one release per source per epoch retained
v2_safe_main_pass,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_v2_safe_vs_open_comparison.csv,v2-safe beats original project under java_release_time_tth without open-end
v2_safe_speed_dynamic_no_material_regression,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_v2_safe_vs_open_comparison.csv,speed sweep and dynamic/static diagnostics safe
fault_boundary_documented,PASS,C:\PROGRAMING\czr005\outputs\reports\g4irsf9_fault_boundary_and_policy_recommendation.md,fault diagnostics are not mixed into paper-main candidate
v2_safe_bundle_frozen,PASS,C:\PROGRAMING\czr005\artifacts\policies\g4irsf9_noastar_v2_safe_policy_bundle.json,model_plus_pibt_lite_java_source_queue_v2_safe
v2_open_kept_separate,PASS,C:\PROGRAMING\czr005\artifacts\policies\g4irsf9_noastar_v2_open_policy_bundle.json,open candidate is not merged into v2-safe claim
legacy_map_inputdata_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf9_git_state_audit.csv,protected files unchanged
g4j_closed,PASS,C:\PROGRAMING\czr005\outputs\reports\g4irsf9_plain_language_summary.md,G4J still closed
